_time,percent_usage
2021-02-13 00:52:53,0.8049
2021-02-13 00:52:58,0.8064
2021-02-13 00:53:03,0.8064
2021-02-13 00:53:08,0.8065
2021-02-13 00:53:13,0.8065
2021-02-13 00:53:18,0.8065
2021-02-13 00:53:23,0.8065
2021-02-13 00:53:28,0.8064
2021-02-13 00:53:33,0.8065
2021-02-13 00:53:38,0.8064
2021-02-13 00:53:43,0.8235
2021-02-13 00:53:48,0.8089
2021-02-13 00:53:53,0.8089
2021-02-13 00:53:58,0.8089
2021-02-13 00:54:03,0.8089
2021-02-13 00:54:08,0.8089
2021-02-13 00:54:13,0.8083
2021-02-13 00:54:18,0.8081
2021-02-13 00:54:23,0.8082
2021-02-13 00:54:28,0.8082
2021-02-13 00:54:33,0.8082
2021-02-13 00:54:38,0.8081
2021-02-13 00:54:43,0.8082
2021-02-13 00:54:48,0.8082
2021-02-13 00:54:53,0.8082
2021-02-13 00:54:58,0.8067
2021-02-13 00:55:03,0.8067
2021-02-13 00:55:08,0.8066
2021-02-13 00:55:13,0.8067
2021-02-13 00:55:18,0.8067
2021-02-13 00:55:23,0.8077
2021-02-13 00:55:28,0.8078
2021-02-13 00:55:33,0.8078
2021-02-13 00:55:38,0.8078
2021-02-13 00:55:43,0.8078
2021-02-13 00:55:48,0.8078
2021-02-13 00:55:53,0.8078
2021-02-13 00:55:58,0.8078
2021-02-13 00:56:03,0.8078
2021-02-13 00:56:08,0.8078
2021-02-13 00:56:13,0.8078
2021-02-13 00:56:18,0.8078
2021-02-13 00:56:23,0.8078
2021-02-13 00:56:28,0.8078
2021-02-13 00:56:33,0.8078
2021-02-13 00:56:38,0.8078
2021-02-13 00:56:43,0.8078
2021-02-13 00:56:48,0.8078
2021-02-13 00:56:53,0.8078
2021-02-13 00:56:59,0.8078
2021-02-13 00:57:04,0.8078
2021-02-13 00:57:09,0.8078
2021-02-13 00:57:14,0.8078
2021-02-13 00:57:19,0.8078
2021-02-13 00:57:24,0.8078
2021-02-13 00:57:29,0.8078
2021-02-13 00:57:34,0.8078
2021-02-13 00:57:39,0.8078
2021-02-13 00:57:44,0.8078
2021-02-13 00:57:49,0.8078
2021-02-13 00:57:54,0.8078
2021-02-13 00:57:59,0.8078
2021-02-13 00:58:04,0.8078
2021-02-13 00:58:09,0.8078
2021-02-13 00:58:14,0.8078
2021-02-13 00:58:19,0.8078
2021-02-13 00:58:24,0.8078
2021-02-13 00:58:29,0.8078
2021-02-13 00:58:34,0.8078
2021-02-13 00:58:39,0.8078
2021-02-13 00:58:44,0.8078
2021-02-13 00:58:49,0.808
2021-02-13 00:58:54,0.808
2021-02-13 00:58:59,0.8078
2021-02-13 00:59:04,0.808
2021-02-13 00:59:09,0.808
2021-02-13 00:59:14,0.8078
2021-02-13 00:59:19,0.808
2021-02-13 00:59:24,0.808
2021-02-13 00:59:29,0.8078
2021-02-13 00:59:34,0.8079
2021-02-13 00:59:39,0.8079
2021-02-13 00:59:44,0.8078
2021-02-13 00:59:49,0.8079
2021-02-13 00:59:54,0.8079
2021-02-13 00:59:59,0.8078
2021-02-13 01:00:04,0.8078
2021-02-13 01:00:09,0.8078
2021-02-13 01:00:14,0.8079
2021-02-13 01:00:19,0.8079
2021-02-13 01:00:24,0.8079
2021-02-13 01:00:29,0.8078
2021-02-13 01:00:34,0.8078
2021-02-13 01:00:39,0.8079
2021-02-13 01:00:44,0.8079
2021-02-13 01:00:49,0.8078
2021-02-13 01:00:54,0.8079
2021-02-13 01:00:59,0.8079
2021-02-13 01:01:04,0.8079
2021-02-13 01:01:09,0.8078
2021-02-13 01:01:14,0.8079
2021-02-13 01:01:19,0.8079
2021-02-13 01:01:24,0.8078
2021-02-13 01:01:29,0.8079
2021-02-13 01:01:34,0.8079
2021-02-13 01:01:39,0.8079
2021-02-13 01:01:44,0.8079
2021-02-13 01:01:49,0.8077
2021-02-13 01:01:54,0.8079
2021-02-13 01:01:59,0.8079
2021-02-13 01:02:04,0.8079
2021-02-13 01:02:09,0.8077
2021-02-13 01:02:14,0.8079
2021-02-13 01:02:19,0.8079
2021-02-13 01:02:24,0.8079
2021-02-13 01:02:29,0.8077
2021-02-13 01:02:34,0.8079
2021-02-13 01:02:39,0.8079
2021-02-13 01:02:44,0.8079
2021-02-13 01:02:49,0.8079
2021-02-13 01:02:54,0.8079
2021-02-13 01:02:59,0.8079
2021-02-13 01:03:04,0.8077
2021-02-13 01:03:09,0.8079
2021-02-13 01:03:14,0.8079
2021-02-13 01:03:19,0.8079
2021-02-13 01:03:24,0.8079
2021-02-13 01:03:29,0.8077
2021-02-13 01:03:34,0.8079
2021-02-13 01:03:39,0.8079
2021-02-13 01:03:44,0.8079
2021-02-13 01:03:49,0.8079
2021-02-13 01:03:54,0.8079
2021-02-13 01:03:59,0.8079
2021-02-13 01:04:04,0.8077
2021-02-13 01:04:09,0.8087
2021-02-13 01:04:14,0.8091
2021-02-13 01:04:19,0.8092
2021-02-13 01:04:24,0.8092
2021-02-13 01:04:29,0.8092
2021-02-13 01:04:34,0.8092
2021-02-13 01:04:39,0.8092
2021-02-13 01:04:44,0.8092
2021-02-13 01:04:49,0.8092
2021-02-13 01:04:55,0.8092
2021-02-13 01:05:00,0.8092
2021-02-13 01:05:05,0.8092
2021-02-13 01:05:10,0.8092
2021-02-13 01:05:15,0.8092
2021-02-13 01:05:20,0.8092
2021-02-13 01:05:25,0.8092
2021-02-13 01:05:30,0.8092
2021-02-13 01:05:35,0.8092
2021-02-13 01:05:40,0.8092
2021-02-13 01:05:45,0.8092
2021-02-13 01:05:50,0.8094
2021-02-13 01:05:55,0.8092
2021-02-13 01:06:00,0.8092
2021-02-13 01:06:05,0.8094
2021-02-13 01:06:10,0.8079
2021-02-13 01:06:15,0.8077
2021-02-13 01:06:20,0.8077
2021-02-13 01:06:25,0.8079
2021-02-13 01:06:30,0.8079
2021-02-13 01:06:35,0.8079
2021-02-13 01:06:40,0.8077
2021-02-13 01:06:45,0.8079
2021-02-13 01:06:50,0.8079
2021-02-13 01:06:55,0.8077
2021-02-13 01:07:00,0.8079
2021-02-13 01:07:05,0.8077
2021-02-13 01:07:10,0.8079
2021-02-13 01:07:15,0.808
2021-02-13 01:07:20,0.8079
2021-02-13 01:07:25,0.8079
2021-02-13 01:07:30,0.8079
2021-02-13 01:07:35,0.8079
2021-02-13 01:07:40,0.8079
2021-02-13 01:07:45,0.8079
2021-02-13 01:07:50,0.8079
2021-02-13 01:07:55,0.8079
2021-02-13 01:08:00,0.8079
2021-02-13 01:08:05,0.808
2021-02-13 01:08:10,0.8079
2021-02-13 01:08:15,0.808
2021-02-13 01:08:20,0.8078
2021-02-13 01:08:25,0.8078
2021-02-13 01:08:30,0.808
2021-02-13 01:08:35,0.808
2021-02-13 01:08:40,0.8078
2021-02-13 01:08:45,0.808
2021-02-13 01:08:50,0.8078
2021-02-13 01:08:55,0.808
2021-02-13 01:09:00,0.808
2021-02-13 01:09:05,0.8096
2021-02-13 01:09:10,0.808
2021-02-13 01:09:15,0.8078
2021-02-13 01:09:20,0.808
2021-02-13 01:09:25,0.8078
2021-02-13 01:09:30,0.808
